A_0	a_m a_m
HENG_3	h el_l ng_l
HENG_4	h el_h ng_l
HONG_0	hu u_m ng_m
HONG_1	hu u_h ng_h
HONG_2	hu u_l ng_h
HONG_3	hu u_l ng_l
HONG_4	hu u_h ng_l
HOU_0	h o_m u_m
HOU_1	h o_h u_h
HOU_2	h o_l u_h
HOU_3	h o_l u_l
HOU_4	h o_h u_l
HU_0	hu u_m u_m
HU_1	hu u_h u_h
HU_2	hu u_l u_h
HU_3	hu u_l u_l
HU_4	hu u_h u_l
HUA_0	hu a_m a_m
HUA_1	hu a_h a_h
HUA_2	hu a_l a_h
HUA_3	hu a_l a_l
HUA_4	hu a_h a_l
HUAI_0	hu a_m eh_m
HUAI_1	hu a_h eh_h
HUAI_2	hu a_l eh_h
HUAI_3	hu a_l eh_l
HUAI_4	hu a_h eh_l
HUAN_0	hu a_m nn_m
HUAN_1	hu a_h nn_h
HUAN_2	hu a_l nn_h
HUAN_3	hu a_l nn_l
HUAN_4	hu a_h nn_l
HUANG_0	hu aa_m ng_m
HUANG_1	hu aa_h ng_h
HUANG_2	hu aa_l ng_h
HUANG_3	hu aa_l ng_l
HUANG_4	hu aa_h ng_l
HUI_0	hu eh_m i_m
HUI_1	hu eh_h i_h
HUI_2	hu eh_l i_h
HUI_3	hu eh_l i_l
HUI_4	hu eh_h i_l
HUN_0	hu el_m nn_m
HUN_1	hu el_h nn_h
HUN_2	hu el_l nn_h
HUN_3	hu el_l nn_l
HUN_4	hu el_h nn_l
HUO_0	hu o_m o_m
HUO_1	hu o_h o_h
HUO_2	hu o_l o_h
HUO_3	hu o_l o_l
HUO_4	hu o_h o_l
JI_0	ji i_m i_m
JI_1	ji i_h i_h
JI_2	ji i_l i_h
JI_3	ji i_l i_l
JI_4	ji i_h i_l
JIA_0	ji a_m a_m
JIA_1	ji a_h a_h
JIA_2	ji a_l a_h
JIA_3	ji a_l a_l
JIA_4	ji a_h a_l
JIAN_0	ji a_m nn_m
JIAN_1	ji a_h nn_h
JIAN_2	ji a_l nn_h
JIAN_3	ji a_l nn_l
JIAN_4	ji a_h nn_l
JIANG_0	ji aa_m ng_m
JIANG_1	ji aa_h ng_h
JIANG_2	ji aa_l ng_h
JIANG_3	ji aa_l ng_l
JIANG_4	ji aa_h ng_l
JIAO_0	ji aa_m o_m
JIAO_1	ji aa_h o_h
JIAO_2	ji aa_l o_h
JIAO_3	ji aa_l o_l
JIAO_4	ji aa_h o_l
JIE_0	ji eh_m eh_m
JIE_1	ji eh_h eh_h
JIE_2	ji eh_l eh_h
JIE_3	ji eh_l eh_l
JIE_4	ji eh_h eh_l
JIN_0	ji i_m nn_m
JIN_1	ji i_h nn_h
JIN_2	ji i_l nn_h
JIN_3	ji i_l nn_l
JIN_4	ji i_h nn_l
JING_0	ji el_m ng_m
JING_1	ji el_h ng_h
JING_2	ji el_l ng_h
JING_3	ji el_l ng_l
JING_4	ji el_h ng_l
JIONG_0	jv u_m ng_m
JIONG_1	jv u_h ng_h
JIONG_2	jv u_l ng_h
JIONG_3	jv u_l ng_l
JIONG_4	jv u_h ng_l
JIU_0	ji o_m u_m
JIU_1	ji o_h u_h
JIU_2	ji o_l u_h
JIU_3	ji o_l u_l
JIU_4	ji o_h u_l
JU_0	jv v_m v_m
JU_1	jv v_h v_h
JU_2	jv v_l v_h
JU_3	jv v_l v_l
JU_4	jv v_h v_l
JUAN_0	jv a_m nn_m
JUAN_1	jv a_h nn_h
JUAN_2	jv a_l nn_h
JUAN_3	jv a_l nn_l
JUAN_4	jv a_h nn_l
JUE_0	jv eh_m eh_m
JUE_1	jv eh_h eh_h
JUE_2	jv eh_l eh_h
JUE_3	jv eh_l eh_l
JUE_4	jv eh_h eh_l
JUN_0	jv el_m nn_m
JUN_1	jv el_h nn_h
JUN_2	jv el_l nn_h
JUN_3	jv el_l nn_l
JUN_4	jv el_h nn_l
KA_0	k a_m a_m
KA_1	k a_h a_h
KA_2	k a_l a_h
KA_3	k a_l a_l
KA_4	k a_h a_l
KAI_0	k a_m eh_m
KAI_1	k a_h eh_h
KAI_2	k a_l eh_h
KAI_3	k a_l eh_l
KAI_4	k a_h eh_l
KAN_0	k a_m nn_m
KAN_1	k a_h nn_h
KAN_2	k a_l nn_h
KAN_3	k a_l nn_l
KAN_4	k a_h nn_l
KANG_0	k aa_m ng_m
KANG_1	k aa_h ng_h
